,species-name,dataset-tag,r_0,r_1,s_1,damping,R_0,T_c,V,G,d,r_0a,r_0b,r_1a,s_1a
0,Spermophilus columbianus,Zammuto 87 1300m,0.00016648179923242287,-1.8366889853392523,0.5660246694937506,0.1593176187462286,1.000737,2.420377182016854,1.526214964000408,0.5396049939943279,0.508489374030466,0.00030438584297464284,0.00030444426566553836,-0.4429630748881238,2.5957038300496103
1,Spermophilus columbianus,Zammuto 87 1360m,-0.00020634388611649648,-2.0699483486936696,0.29287173457279564,0.12621834122999365,0.9996970000000001,2.431442727146325,0.9726542887185459,0.7804957645834608,0.6536691299601434,-0.00012463625418412808,-0.0001246300400125774,-0.4373133180368611,2.5842031449048815
2,Spermophilus columbianus,Zammuto 87 1500m,0.0014566115981759023,-1.272936156255431,0.648749217052997,0.2796006992158517,1.0067499999999998,3.8013349888254293,1.8187452751676374,0.4288276211663896,0.8121759215904724,0.0017697258382126898,0.0017712243070596109,-0.112929010688578,1.652189366267511
3,Spermophilus columbianus,Zammuto 87 1675m,-0.02512781445960477,-2.803371875146065,0.6295444393601601,0.06214753892979525,1.01028,2.9069762838025106,1.1900756534344537,0.2166405427033276,0.7375733675981136,0.0035182674906648,0.003523334956071233,-0.28090122966115744,2.159859512008746
4,Spermophilus columbianus,Zammuto 87 2000m,-0.0012451605850646464,-2.0652452126576195,0.7162749183771514,0.12694516567849076,0.9948730000000001,3.178657979460694,0.9986229130901101,0.37728642884607405,0.8225331827080569,-0.0016170938157423738,-0.001616272276792927,-0.1968810216067764,1.9771807423993575
5,Spermophilus columbianus,Zammuto 87 2200m,-0.003239700789741891,-1.5068423372693969,0.7284388896281808,0.22232774955847237,0.9860939999999999,3.4137536583733397,1.1856765251423067,0.1389391807549036,0.8292264875207537,-0.004102110356913809,-0.004096265838618065,-0.16117650015728474,1.841861466451535
6,Spermophilus lateralis,Bronson 1979 2730m,-0.009031958869049275,-1.1341550193224446,0.6718418868609519,0.3246125179366681,0.9623999999999999,3.3807044887780555,2.2432498777603995,-0.021483271637840088,0.6943465499045246,-0.01133642838316238,-0.011251153145195003,-0.1716460730071168,1.865533386646378
7,Spermophilus lateralis,Bronson 1979 1980m,-0.0007861849905967039,-2.0651590340436288,0.4120618157253924,0.1268978497242101,0.9982300000000001,1.8339661200324573,1.0945789494747498,1.2011387440330092,0.3279336594623825,-0.0009659765693146123,-0.0009654196542472462,-1.0193915120220634,3.426997076379366
8,Spermophilus lateralis,Bronson 1979 1840m,-0.012829629424283335,-1.2877568900445835,0.48973459427245464,0.27945129459595963,0.960961,2.054895047769889,1.8566395269319391,1.1611581426108943,0.26068799226353695,-0.019378825991570422,-0.019039518949842203,-0.7369502781537012,3.0844358571694284
9,Spermophilus lateralis,Bronson 1979 1460m,0.00012860971543758742,-1.3781182084397428,0.3712160295470175,0.25202000286935095,1.0009899999999998,1.883505329723574,1.272545736220208,1.5930664051749084,0.3022169261077615,0.0005253557064996931,0.000525542178424908,-0.9401992598700161,3.3353079060435387
10,Theropithecus gelada,Dunbar 1980,-0.054838964784492523,-0.5784446034346671,0.44233517348038665,0.5923807816344034,0.6690030884999999,6.205249962758581,4.391700571056447,0.9193476986111121,0.8909317637071614,-0.06477847059910223,-0.06180861849907491,-0.08113571168653057,1.035770628394517
11,Yellow-bellied marmot,Schwartz et al. 1998,-0.0706941197759067,-0.6823588625998795,0.45742309569435896,0.542447082109468,0.673197,4.502485899372695,4.319854500016191,0.7359639963561669,0.7427718066991144,-0.08788862016392639,-0.08047753079708535,-0.13953125437450714,1.4543290122877415
12,Spermophilus armatus,Slade & Balph 1974,-0.016191749267331367,-0.8388634825461071,0.5174677105422232,0.4392565091341591,0.9274800000000001,1.6156574804847543,1.0357753504856175,1.1643946873972872,0.2137149054742231,-0.0465965397893427,-0.045204589867542,-1.5060055094012463,3.9470198722691596
13,Tursiops truncatus,Stolen & Barlow 2003,0.0006021007567107438,-0.1849420618439068,0.23216530669550317,0.8306521510116883,1.0117899999999997,14.272062384486903,33.39204715150605,0.8199194489011509,0.9303717910621611,0.0008212575824666016,0.0008228356118811932,-0.0015592221792743847,0.4398207233780559
14,Papio cynocephalus,Storz et al. 2002,0.038808163645561444,-0.23845726258574293,0.33124883352080775,0.7578533162627352,1.5103443224,10.96240305037876,18.468019899680264,0.5774378706078036,0.9156865788746312,0.03761380155581905,0.039997267912983955,0.034038776557062576,0.5549980780772041
15,Helogale parvula,Waser et al. 1995,0.007732297816191253,-0.5760227878937964,0.48895752396569864,0.557799842744355,1.0586699999999998,5.878725192930753,5.724125107465386,0.46290587884351153,0.8377571652579251,0.00969825964904627,0.009789842376336592,-0.023194174980794423,1.0637541941077555
16,Callorhinus ursinus,Barlow & Boveng 1991,0.00024748509838927116,-0.2753022178848719,0.3854182083929225,0.7591546989030384,1.00257461,9.387482383979382,12.558053652956254,0.3187487281373586,0.9090279416271068,0.0002739074508199218,0.00027400781549693397,-0.007347596834624336,0.6691926454267682
17,Phacochoerus aethiopicus,Rodgers 1984,0.014107703273255752,-0.4607216367619709,0.4168939062449218,0.6219911964035109,0.80393,4.98787705397236,7.4220216309479845,0.8192396966729305,0.6867408032876428,-0.043754702834210214,-0.04090594224220076,-0.036525178767219654,1.3006989892446685
18,Red deer,Benton et al. 1995,0.0632612086977064,-0.3040239017317985,0.42928966781864025,0.6926121459447924,1.021123512,8.373333248642306,11.617375215851974,0.30225813231245013,0.8830841204702558,0.00249643754067932,0.0025050842537926647,0.05255872092100352,0.7490809018479648
19,Soay sheep (high D cohorts),No author,-0.29936725459587216,-0.8881803028122064,0.3994631504070363,0.554985635131653,0.24710000000000001,2.917037636584379,4.343177950424846,0.825790997269836,0.33306609246798174,-0.47924035962198824,-0.1372826795745326,-0.5525031715131277,2.9224308218484016
20,Soay sheep (low D cohorts),Coulson & Crawley 2004,0.19606270760137262,-0.4083186000152175,0.5208883300827447,0.5464123832630604,2.7347,4.925256883753246,8.538092846396008,0.153030724431726,0.6382609908664346,0.20425771982823349,0.27658280361866616,0.14347391397133652,1.049851220432504
21,Feral Horse,Garrott 1991,0.2559126256733616,-0.18123824718501613,0.3522770488770464,0.6458739792059685,8.063496318000002,9.438858273191066,22.183183838650315,0.38838443296037845,0.8472606691087581,0.22114403971309016,0.33607972529908803,0.24844089045508566,0.4926865312938562
22,Rhinoceros unicornis,Dinerstein & Price 1991,0.022074256749322386,-0.0866589203843806,0.20309553987765097,0.8969697176024781,1.53415494,19.07109321696021,62.975635944764264,0.2544388825785429,0.9445505612477082,0.022441277848468957,0.024104277424681176,0.021168413396924674,0.3172539245278023
23,Hemitragus jemlahicus,Caughley 1970,0.0926317107777505,-0.45109664279571493,0.4576879026705862,0.5805796060969954,1.813085,5.749554488620225,7.350778894888096,0.5209430275475065,0.7842695952058322,0.10349146450733414,0.11718476791138492,0.059573656688415806,1.0205157006391996
24,Godley (stationary),Caughley 1970,-0.009147750495125893,-0.5333176118513254,0.4393802543699195,0.5920466412204611,0.927374,5.368981662198853,5.8839824913165,0.71153350199103,0.7875112456898881,-0.01404332283649303,-0.013827190767604315,-0.04974570069224413,1.179280543115519
25,Ovis dalli,Simmons et al. 1984,0.002359272575351728,-0.45633530298066377,0.4171702176416431,0.6321082767386351,1.0162243000000002,5.762927534797188,7.820336107068386,0.6383529676856728,0.7735774215658718,0.0027926938886601595,0.0028032773792863322,-0.030469178522006958,1.0882107322561316
26,Connochaetes taurinus taurinus,Attwell 1982,-0.03195889573147508,-0.32794386507721407,0.3535424781220919,0.7437986077158727,0.77743,6.70470653306407,12.704680136855432,0.7327475328946103,0.7673190244186864,-0.03754999117331548,-0.03487819304992295,-0.05280575084909338,0.9704704178302828
27,Connochaetes taurinus albojubatus,Watson 1970,0.06687226201740343,-0.29252138528908594,0.26041671233759434,0.6980994922715603,1.5945,6.336895578551268,14.199991491447998,1.3814690760731876,0.7042504003422594,0.07362598952192921,0.08577312353298663,0.04218060611247787,0.9097312240212192
28,Lepus europaeus,Alsina & Brandani 1979,0.019219935378743613,-0.37850178033203447,0.404010989828588,0.671848966661862,0.2669348,1.1066552581379423,0.09527991404947117,2.5486057952588284,0.6429315230028994,-1.1934618621711797,-1.0708292171064093,-4.616773504893975,5.969334702905881
29,Alopex lagopus,Prestud 1992,0.043123191449500546,-0.6417842302079086,0.49881324026039964,0.5041368995730781,1.25687,4.4805270234789605,4.882701392267815,0.4922545250621247,0.7110039934347409,0.05102625254093662,0.05386363848197929,-0.026731015299572815,1.363342444750983
30,Spermophilus beldingi,Sherman & Morton 1984,0.09024678272203819,-1.0613469259350718,0.3309370919528553,0.31613254451902045,1.3612579999999999,2.441119170649502,2.0435634418794226,1.3252225122613972,0.4136746626691945,0.12633929383997985,0.13970143433273174,-0.34168277471887953,2.437782713229162
31,Sciurus carolinensis,Barkalow et al. 1970,0.04318567812283458,-0.9373919546607432,0.49582462739573924,0.37509436945769,1.16956,2.6747152775402716,3.1546638737537376,0.7673182835561907,0.3549216755142644,0.05855861033784092,0.06260303786689649,-0.2851720131107598,2.2679823624061948
32,Capreolus capreolus,Kaluzinski 1982,0.18382292672345035,-0.6453132280030431,0.5739630292499214,0.43642612817963516,2.4541950000000003,4.555876774257954,3.9787695061941166,0.513966710882487,0.767689175005752,0.19706389125959053,0.2309788208878919,0.11737767338853096,1.2604628629184642
33,Capreolus capreolus,Johnson 1982,0.061433770836739246,-0.7321718081011586,0.3271877320597227,0.4522113685415103,1.3652699999999998,4.190412885363336,3.8837257936206915,1.1266838507251522,0.7177505582657389,0.07430108196783416,0.0794176884752565,-0.02395670207622813,1.4477917830346418
34,Syncerus caffer,Sinclair 1977,0.05413383870155167,-0.3847266302514073,0.42894588755628427,0.6447707388898992,1.62905,8.268966575611552,9.053576995936307,0.566562501684411,0.9042845442014122,0.059015478943313826,0.06282877772747793,0.043020970618879766,0.7353023521917837
35,Delphinapterus leucas,B̩land et al. 1988,-0.0004605100171850879,-0.16453667440504938,0.27469784152250976,0.8486773804253752,0.9931114275,13.997665496100637,29.13362279293039,0.3829774338086485,0.9354353179242834,-0.0004938257914050166,-0.0004933182325385416,-0.0027514464327898632,0.44910447873435094
36,Sylvilagus floridanus,Lord 1961ab,-0.09989868851577728,-0.24711768083174315,0.21997891256886248,0.8631049433681032,0.3875291,0.7652712187721301,0.2513756995192395,1.1651721359586804,0.029476221829463467,-1.2387298946838252,-0.7346943670544966,-14.119437518562822,9.88079764878028
37,Propithecus diadema edwardsi,Pochron et al. 2004,-0.05698354961833237,-0.27786648258945973,0.32329245452212074,0.8018105403738078,0.52149029,9.999471303674701,14.38421003818333,0.49554105360410916,0.9135720867835624,-0.06510990474492416,-0.05901168461021325,-0.06326773159999265,0.6577775916243053
38,Pteropus conspicillatus,Fox et al. 2008,-0.11742662071471613,-0.5964142946040013,0.3232768577339883,0.6194101195634566,0.5325500000000001,4.001943479485495,4.921872103086531,1.471300310280837,0.6172383497744793,-0.15744312540215272,-0.12695668085037964,-0.21545842959407108,1.7220399382989844
39,Lynx rufus,Rolley 85,0.003972490926111124,-0.6488075760136466,0.2608732387712215,0.520596470074252,1.013326161790017,2.169733372399648,3.0207217865130045,1.9894390417122048,0.1559670838072025,0.006101279407170746,0.0061531052277047915,-0.6111488034375446,2.883533939693783
40,Nyctereutes procyonoides,Helle & Kauhala 1993,-0.11792999639809794,-1.3137320477389038,0.43139493969505327,0.3024612674064605,0.6809000000000001,2.1361433396974587,1.927859468952923,1.1834846459379254,0.2886057770618182,-0.1799223017251501,-0.15070669040120083,-0.7625276111705277,3.1801770940343173
41,Arctocephalus australis,Lima & Paez 1997,0.05229226801671071,-0.26263882697087165,0.26169739330930886,0.7298391621130229,1.3972127740000002,6.323251800587961,17.971537201491696,1.30446166583121,0.6397833635703856,0.05289673526025039,0.060849213456333234,0.027440434289610915,0.9189700899991692
42,Spermophilus dauricus,Luo & Fox 1990,-0.07949056005092205,-1.7002096665798854,0.6040752647130477,0.19775643999288114,0.735679,2.787229212740883,2.030135121295488,0.19516477903842877,0.5548281087161162,-0.11013137896650894,-0.1012970327821216,-0.3696667759355536,2.3446915051970643
43,Liomys adspersus,Fleming 71,-0.02750551582383957,-0.2204454632318533,0.5058907122942305,0.8245314879054013,0.807164,0.7712236918395765,0.032286912698984205,-1.890616152308317,0.6425906311426732,-0.2777772672397818,-0.2745469917739628,-13.724925772127385,8.194404549570823
44,Oryzomys capito,Fleming 71,0.02635918981481771,-0.6773487822331447,0.4694624143673323,0.49474738893976944,1.16721,0.4095278484591461,0.026012791868888923,0.9283125762697354,0.09258123598413186,0.3775476717480345,0.3866018099492693,-91.4543555684464,15.15854270584941
45,Proechimys semispinosus,Fleming 71,0.0018171693206367856,-0.30670541700281845,0.31892029552308765,0.7345313616488889,1.01634,1.3218853926835508,0.3669811643189023,0.9291429385824198,0.3685213261337779,0.012261228495236509,0.012302965179352912,-2.7183679335335893,4.745109900048638
46,Cynomys ludovicianus,Hoogland 95,0.017872448064139422,-2.088031071885913,0.6201227468823322,0.12173563399082994,1.074413,3.028158631736586,1.373235514420843,0.4767045541372601,0.7329086711444798,0.023702346758877512,0.023957117235333784,-0.20840642222289596,2.0637680813632957
47,Equus caballus,Garrott & Taylor 90,0.10916405317465705,-0.20493404307933483,0.3938504225234675,0.7304473704940244,2.9277850500000002,9.72187791928236,16.775660344207772,0.16795816212742018,0.8916228586623577,0.11049780612739196,0.1315664592096441,0.10232604872979414,0.5846788911111833
48,Macaca nemestrina,Ha 00,0.018018490675882935,-0.3271899887787013,0.3171958204690281,0.7080727194646464,1.19130585,8.852615661209084,15.553680143170077,0.7645091103573712,0.8686079451836436,0.019773823366130046,0.020460801406438352,0.00896189374755927,0.6974255957584219
49,Ursus arctos horribilis,Knight & Eberhardt 85,-0.030986241758614225,-0.24539808894611917,0.31885025347081397,0.8070159493220264,0.69838684,10.317703609649918,16.90786180440743,0.533414369163626,0.9078095253986981,-0.03479283097145799,-0.03280908902828441,-0.03670669874455968,0.6263317930940477
50,Rangifer tarandus,Messier et al. 88,0.0948129593579416,-0.3680401203903189,0.436724952987979,0.629485109825403,2.02592,6.859372531985469,9.175108214718575,0.4938460811518997,0.8364209937776304,0.10292835315204316,0.11709923423086682,0.07534471904971649,0.85294388002065
51,Enhydra lutris,Monson et al. 00,-0.04088585558171593,-0.4651243027970578,0.4361042827066378,0.6542678549593992,0.7160180100000001,6.990560237444305,8.581344757329909,0.6123281342730111,0.85399193365051,-0.04778586370191694,-0.04498274010137153,-0.059278489262756286,0.9251721221879773
52,Castor canadensis,Payne 84,-0.010312795378081937,-0.4411054759278215,0.38409015034917104,0.6499936531337515,0.934558,5.546827484222488,8.488211741601882,0.7939687665220106,0.7316092721412969,-0.012201855732750939,-0.011974019223746905,-0.04712958297408755,1.1433285123376107
53,Cebus olivaceus large groups,Robinson & O'Brien 91,0.07776202409494437,-0.09505319263771315,0.23149766366778127,0.8412930573625247,3.7253945999999996,17.81790821299843,53.485320591462845,0.3583240424771143,0.9423223021830849,0.07381185060474713,0.09016607958151704,0.07665129098955255,0.3135673245054323
54,Cebus olivaceus small groups,Robinson & O'Brien 91,0.03961988179687824,-0.11539243477015271,0.20978002899205256,0.8564046294536316,1.8854532922000002,16.051620908246647,56.095486388181435,0.5642751856176337,0.9183085088471482,0.03950805148785577,0.044962869246896776,0.03810065299570094,0.36441368303663746
55,Equus asinus,Saltz 95,0.09502356640382366,-0.1901498373665162,0.3801297385456305,0.7518838635177894,2.0996,7.609925700133357,17.928333562778253,0.29312946754731345,0.7744436229639304,0.09747097141605592,0.11985354886739161,0.08076622271906128,0.7308574809571998
56,Spermophilus townsendii,Smith 85,0.16250239715554302,,0.40575767772814153,,1.534,1.6883963494132985,0.7151587060101414,1.0541140197975645,0.3931373565298677,0.25342313911881426,0.28062637440054433,-1.1429368188128934,3.521659408903014
57,Kobus ellipsiprymnus,VanSickle 87,-0.14677798780552664,-0.6065382346149049,0.44448615644873346,0.6314350159201683,0.37936000000000003,5.19627794179671,5.2802750539166405,0.5214141023739632,0.789416766164705,-0.18653152651220548,-0.15117507577789258,-0.191559911936404,1.3237675437049226
58,Ursus americanus,Yodzis & Kolenosvski 86,-0.04400174300192738,-0.31807331490577617,0.3636073831306709,0.7602776587940666,0.6237041999999999,9.485652012604692,10.737150481423084,0.5652497371392099,0.9239995309442646,-0.049767697659443236,-0.04696409184794122,-0.05136344619435416,0.6810457831544852
59,Urocyon cinereoargenteus,Wood 58/Michod & Anderson 80,-0.2883502543375382,-3.301608595976115,0.24131291951082037,0.04913133100686753,0.5109,1.2702290076335878,0.35293048190664883,2.4514763582849697,0.33892064599079913,-0.528708916746066,-0.4510412224326785,-3.3540794477499136,5.3098199880214025
60,Mustela nivalis,King 80,0.4496933028013469,-0.8058574931624695,0.4884593502435055,0.2849188728325447,2.856,0.4166666666666667,0.1388888888888889,1.7888543819998313,5.76494012766386e-06,2.5186129067456107,4.633083231420802,-86.40906038364923,8.749680093176252
61,Rupicapra rupicapra,Caughley 70,-3.352004118775156e-05,-1.6746469507869355,0.6210100513858935,0.187380601062291,0.9998380000000001,3.8332849921687306,2.156295928715073,0.6196397566461124,0.7862085970084998,-4.226482605603807e-05,-4.22638212194829e-05,-0.11158274107508465,1.639131974445303
62,Zapus princeps,Falk & Millar 87,-0.00021259659013041262,-1.9129945854408053,0.23169683373023423,0.14766900111119072,0.99937,1.9642274633018801,0.6142581144251301,1.1788657911174594,0.6009289280988288,-0.00032083785873202974,-0.0003208056680378825,-0.8293080461333774,3.198967854115502
